"soma_id","target_full_name","target","uniprot","entrez_gene_id","entrez_gene_symbol","dilution","col_check","uniprot_single","entrez_gene_id_single","gene_id","converted_seq_ids","intracellular","membrane","secreted"
"SL008018","Dihydrolipoyl dehydrogenase, mitochondrial","DLDH","P09622","1738","DLD",0.5,"PASS","P09622","1738","DLD","seq.10025.1",TRUE,FALSE,FALSE
"SL006373","Adenine DNA glycosylase","MutY homolog","Q9UIF7","4595","MUTYH",10,"PASS","Q9UIF7","4595","MUTYH","seq.10030.8",TRUE,FALSE,FALSE
"SL007389","Dual specificity protein phosphatase 4","DUS4","Q13115","1846","DUSP4",10,"PASS","Q13115","1846","DUSP4","seq.10035.6",TRUE,FALSE,FALSE
"SL019252","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2","23051","ZHX3",0.5,"PASS","Q9H4I2","23051","ZHX3","seq.10036.201",TRUE,FALSE,FALSE
"SL025986","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long","SIG12:Ig-like V-type 2","Q96PQ1","89858","SIGLEC12",10,"PASS","Q96PQ1","89858","SIGLEC12","seq.10037.98",FALSE,TRUE,FALSE
"SL005262","Purine nucleoside phosphorylase","PNP","P00491","4860","PNP",0.5,"PASS","P00491","4860","PNP","seq.10039.32",TRUE,FALSE,FALSE
"SL007662","Tumor protein 63","P73L","Q9H3D4","8626","TP63",10,"PASS","Q9H3D4","8626","TP63","seq.10040.63",TRUE,FALSE,FALSE
"SL007226","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","3172","HNF4A",0.5,"PASS","P41235","3172","HNF4A","seq.10041.3",TRUE,FALSE,FALSE
"SL015131","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1","100533105","SGK3",10,"PASS","Q96BR1","100533105","SGK3","seq.10042.8",TRUE,FALSE,FALSE
"SL019249","Bromodomain-containing protein 4","BRD4","O60885","23476","BRD4",10,"PASS","O60885","23476","BRD4","seq.10043.31",TRUE,FALSE,FALSE
"SL012823","Protein Wnt-10a","WN10A","Q9GZT5","80326","WNT10A",10,"PASS","Q9GZT5","80326","WNT10A","seq.10044.12",TRUE,TRUE,TRUE
"SL010989","Cullin-3","CUL3","Q13618","8452","CUL3",10,"PASS","Q13618","8452","CUL3","seq.10045.47",TRUE,FALSE,FALSE
"SL003727","Baculoviral IAP repeat-containing protein 2","cIAP-1","Q13490","329","BIRC2",10,"PASS","Q13490","329","BIRC2","seq.10046.55",TRUE,FALSE,FALSE
"SL004553","Neutrophil cytosol factor 2","NCF-2","P19878","4688","NCF2",0.5,"PASS","P19878","4688","NCF2","seq.10047.12",TRUE,FALSE,FALSE
"SL011998","Core-binding factor subunit beta","PEBB","Q13951","865","CBFB",10,"PASS","Q13951","865","CBFB","seq.10048.7",TRUE,FALSE,FALSE
"SL019242","Telomeric repeat-binding factor 1","TERF1","P54274","7013","TERF1",10,"PASS","P54274","7013","TERF1","seq.10049.112",TRUE,FALSE,FALSE
"SL004474","Integrin-linked protein kinase","ILK1","Q13418","3611","ILK",10,"PASS","Q13418","3611","ILK","seq.10053.5",TRUE,FALSE,FALSE
"SL019232","Gigaxonin","GAN","Q9H2C0","8139","GAN",10,"PASS","Q9H2C0","8139","GAN","seq.10054.3",TRUE,FALSE,FALSE
"SL007372","Forkhead box protein M1","FOXM1","Q08050","2305","FOXM1",10,"PASS","Q08050","2305","FOXM1","seq.10056.5",TRUE,FALSE,FALSE
"SL013796","UV excision repair protein RAD23 homolog A","RD23A","P54725","5886","RAD23A",10,"PASS","P54725","5886","RAD23A","seq.10058.1",TRUE,FALSE,FALSE
"SL019237","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38","55120","FANCL",10,"PASS","Q9NW38","55120","FANCL","seq.10063.10",TRUE,FALSE,FALSE
"SL011550","Putative hydrolase RBBP9","RBBP9","O75884","10741","RBBP9",0.5,"PASS","O75884","10741","RBBP9","seq.10064.12",TRUE,FALSE,FALSE
"SL013908","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526","5300","PIN1",10,"PASS","Q13526","5300","PIN1","seq.10069.2",TRUE,FALSE,FALSE
"SL016406","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885","5336","PLCG2",10,"PASS","P16885","5336","PLCG2","seq.10070.22",TRUE,FALSE,FALSE
"SL011411","Tyrosyl-DNA phosphodiesterase 1","TYDP1","Q9NUW8","55775","TDP1",10,"PASS","Q9NUW8","55775","TDP1","seq.10073.22",TRUE,FALSE,FALSE
"SL014748","Bromodomain-containing protein 2","BRD2","P25440","6046","BRD2",10,"PASS","P25440","6046","BRD2","seq.10074.128",TRUE,FALSE,FALSE
"SL019254","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61","84320","ACBD6",10,"PASS","Q9BR61","84320","ACBD6","seq.10075.75",TRUE,FALSE,FALSE
"SL019225","AP-4 complex subunit mu-1","AP4M1","O00189","9179","AP4M1",10,"PASS","O00189","9179","AP4M1","seq.10076.1",TRUE,FALSE,FALSE
"SL007063","BAG family molecular chaperone regulator 3","BAG3","O95817","9531","BAG3",10,"PASS","O95817","9531","BAG3","seq.10078.5",TRUE,FALSE,FALSE
"SL019240","Translation initiation factor eIF-2B subunit alpha","EI2BA","Q14232","1967","EIF2B1",10,"PASS","Q14232","1967","EIF2B1","seq.10080.9",TRUE,FALSE,FALSE
"SL019243","DNA-binding protein SATB2","SATB2","Q9UPW6","23314","SATB2",10,"PASS","Q9UPW6","23314","SATB2","seq.10081.17",TRUE,FALSE,FALSE
"SL019251","Neurofilament light polypeptide","NFL","P07196","4747","NEFL",0.5,"PASS","P07196","4747","NEFL","seq.10082.251",TRUE,FALSE,FALSE
"SL001714","Steroidogenic acute regulatory protein, mitochondrial","STAR","P49675","6770","STAR",0.5,"PASS","P49675","6770","STAR","seq.10085.25",TRUE,FALSE,FALSE
"SL018882","Cystathionine beta-synthase","CBS","P35520","102724560","CBS",10,"PASS","P35520","102724560","CBS","seq.10086.39",TRUE,FALSE,FALSE
"SL003675","Alpha-crystallin A chain","Alpha crystallin A chain","P02489","102724652","CRYAA",10,"PASS","P02489","102724652","CRYAA","seq.10087.10",TRUE,FALSE,FALSE
"SL008014","Adenine phosphoribosyltransferase","APT","P07741","353","APRT",10,"PASS","P07741","353","APRT","seq.10088.37",TRUE,FALSE,FALSE
"SL019244","N-acetylserotonin O-methyltransferase-like protein","ASML","O95671","8623","ASMTL",10,"PASS","O95671","8623","ASMTL","seq.10089.7",TRUE,FALSE,FALSE
"SL019100","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","10273","STUB1",10,"PASS","Q9UNE7","10273","STUB1","seq.10336.3",TRUE,FALSE,FALSE
"SL001731","Gamma-enolase","NSE","P09104","2026","ENO2",10,"PASS","P09104","2026","ENO2","seq.10339.48",TRUE,FALSE,FALSE
"SL019096","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9","51588","PIAS4",10,"PASS","Q8N2W9","51588","PIAS4","seq.10342.55",TRUE,FALSE,FALSE
"SL005173","Interleukin-10 receptor subunit alpha","IL-10 Ra","Q13651","3587","IL10RA",10,"PASS","Q13651","3587","IL10RA","seq.10344.334",FALSE,TRUE,FALSE
"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3",10,"PASS","P40763","6774","STAT3","seq.10346.5",TRUE,FALSE,FALSE
"SL007108","Interferon regulatory factor 1","IRF1","P10914","3659","IRF1",10,"PASS","P10914","3659","IRF1","seq.10351.51",TRUE,FALSE,FALSE
"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3",10,"PASS","P40763","6774","STAT3","seq.10354.57",TRUE,FALSE,FALSE
"SL000455","Transcription factor AP-1","c-Jun","P05412","3725","JUN",10,"PASS","P05412","3725","JUN","seq.10356.21",TRUE,FALSE,FALSE
"SL014684","2'-5'-oligoadenylate synthase 1","OAS1","P00973","4938","OAS1",10,"PASS","P00973","4938","OAS1","seq.10361.25",TRUE,FALSE,FALSE
"SL002565","Myc proto-oncogene protein","c-Myc","P01106","4609","MYC",10,"PASS","P01106","4609","MYC","seq.10362.35",TRUE,TRUE,FALSE
"SL004097","Mothers against decapentaplegic homolog 3","SMAD3","P84022","4088","SMAD3",10,"PASS","P84022","4088","SMAD3","seq.10363.13",TRUE,FALSE,FALSE
"SL004101","Mothers against decapentaplegic homolog 2","SMAD2","Q15796","4087","SMAD2",10,"PASS","Q15796","4087","SMAD2","seq.10364.6",TRUE,TRUE,FALSE
"SL005184","Interleukin-23","IL-23","P29460|Q9NPF7","3593|51561","IL12B|IL23A",10,"PASS","Q9NPF7","51561","IL23A","seq.10365.132",FALSE,FALSE,TRUE
"SL001728","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","5156","PDGFRA",10,"PASS","P16234","5156","PDGFRA","seq.10366.11",TRUE,TRUE,FALSE
"SL001716","Interleukin-12","IL-12","P29459|P29460","3592|3593","IL12A|IL12B",10,"PASS","P29460","3593","IL12B","seq.10367.62",FALSE,FALSE,TRUE
"SL004396","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","6772","STAT1",10,"PASS","P42224","6772","STAT1","seq.10370.21",TRUE,FALSE,FALSE
"SL007229","Signal transducer and activator of transcription 6","STAT6","P42226","6778","STAT6",10,"PASS","P42226","6778","STAT6","seq.10372.18",TRUE,FALSE,FALSE
"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3",0.5,"PASS","Q9Y5C1","27329","ANGPTL3","seq.10382.1",FALSE,FALSE,TRUE
"SL018971","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","84133","ZNRF3",10,"PASS","Q9ULT6","84133","ZNRF3","seq.10390.21",FALSE,TRUE,FALSE
"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3",0.005,"PASS","Q9Y5C1","27329","ANGPTL3","seq.10391.1",FALSE,FALSE,TRUE
"SL003755","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","4170","MCL1",10,"PASS","Q07820","4170","MCL1","seq.10396.6",TRUE,TRUE,FALSE
"SL019275","Ankyrin repeat domain-containing protein 1","ANKR1","Q15327","27063","ANKRD1",10,"PASS","Q15327","27063","ANKRD1","seq.10398.110",TRUE,FALSE,FALSE
"SL011111","Syntaxin-12","STX12","Q86Y82","23673","STX12",10,"PASS","Q86Y82","23673","STX12","seq.10418.36",TRUE,TRUE,FALSE
"SL014110","Scavenger receptor class A member 5","SCAR5","Q6ZMJ2","286133","SCARA5",10,"PASS","Q6ZMJ2","286133","SCARA5","seq.10419.1",TRUE,TRUE,FALSE
"SL018037","Fas apoptotic inhibitory molecule 1","FAIM1","Q9NVQ4","55179","FAIM",10,"PASS","Q9NVQ4","55179","FAIM","seq.10420.30",TRUE,FALSE,FALSE
"SL015264","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5","56654","NPDC1",10,"PASS","Q9NQX5","56654","NPDC1","seq.10424.31",TRUE,TRUE,FALSE
"SL017972","Beta-1,4-galactosyltransferase 5","B4GT5","O43286","9334","B4GALT5",10,"PASS","O43286","9334","B4GALT5","seq.10425.3",TRUE,FALSE,FALSE
"SL018004","Golgi SNAP receptor complex member 2","GOSR2","O14653","9570","GOSR2",10,"PASS","O14653","9570","GOSR2","seq.10426.21",TRUE,TRUE,FALSE
"SL018045","Killer cell immunoglobulin-like receptor 2DS2","KI2S2","P43631","100132285","KIR2DS2",10,"PASS","P43631","100132285","KIR2DS2","seq.10428.1",NA,NA,NA
"SL025780","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","4F2:CD","P08195","6520","SLC3A2",10,"PASS","P08195","6520","SLC3A2","seq.10430.31",TRUE,TRUE,FALSE
"SL018002","Uncharacterized protein KIAA1644","K1644","Q3SXP7","85352","SHISAL1",10,"PASS","Q3SXP7","85352","SHISAL1","seq.10432.3",FALSE,TRUE,FALSE
"SL008645","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","ASPG","P20933","175","AGA",10,"PASS","P20933","175","AGA","seq.10435.2",TRUE,FALSE,FALSE
"SL007128","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2R","P15509","1438","CSF2RA",0.5,"PASS","P15509","1438","CSF2RA","seq.10438.19",FALSE,TRUE,TRUE
"SL005393","Alpha-amylase 2B","Alpha-amylase 2B","P19961","280","AMY2B",10,"PASS","P19961","280","AMY2B","seq.10439.57",FALSE,FALSE,TRUE
"SL025782","CXADR-like membrane protein:Extracellular domain","ACAM:ECD","Q9H6B4","79827","CLMP",10,"PASS","Q9H6B4","79827","CLMP","seq.10440.26",FALSE,TRUE,FALSE
"SL018089","Transmembrane protein 190","TM190","Q8WZ59","147744","TMEM190",10,"PASS","Q8WZ59","147744","TMEM190","seq.10442.1",FALSE,TRUE,FALSE
"SL004747","Apolipoprotein M","ApoM","O95445","55937","APOM",0.005,"PASS","O95445","55937","APOM","seq.10445.20",TRUE,FALSE,TRUE
"SL018138","Polyadenylate-binding protein 3","PABP3","Q9H361","5042","PABPC3",10,"PASS","Q9H361","5042","PABPC3","seq.10447.18",TRUE,FALSE,FALSE
"SL008887","Protein shisa-2 homolog","TMM46","Q6UWI4","387914","SHISA2",10,"PASS","Q6UWI4","387914","SHISA2","seq.10449.31",FALSE,TRUE,FALSE
"SL008914","Nucleobindin-1","NUCB1","Q02818","4924","NUCB1",0.5,"PASS","Q02818","4924","NUCB1","seq.10451.11",FALSE,FALSE,TRUE
"SL018233","Carcinoembryonic antigen-related cell adhesion molecule 20","CEA20","Q6UY09","125931","CEACAM20",10,"PASS","Q6UY09","125931","CEACAM20","seq.10453.7",FALSE,TRUE,FALSE
"SL018290","DnaJ homolog subfamily C member 16","DJC16","Q9Y2G8","23341","DNAJC16",10,"PASS","Q9Y2G8","23341","DNAJC16","seq.10454.99",FALSE,TRUE,FALSE
"SL004678","Interleukin-31","IL-31","Q6EBC2","386653","IL31",10,"PASS","Q6EBC2","386653","IL31","seq.10455.196",FALSE,FALSE,TRUE
"SL004861","Interleukin-18 receptor accessory protein","IL-18 Rb","O95256","8807","IL18RAP",10,"PASS","O95256","8807","IL18RAP","seq.10457.3",TRUE,TRUE,FALSE
"SL006029","Chitotriosidase-1","Chitotriosidase-1","Q13231","1118","CHIT1",10,"PASS","Q13231","1118","CHIT1","seq.10460.1",FALSE,FALSE,TRUE
"SL012880","Insulin-like peptide INSL5","INSL5","Q9Y5Q6","10022","INSL5",10,"PASS","Q9Y5Q6","10022","INSL5","seq.10462.14",FALSE,FALSE,TRUE
"SL002514","Intestinal-type alkaline phosphatase","Alkaline phosphatase, intestine","P09923","248","ALPI",10,"PASS","P09923","248","ALPI","seq.10463.23",TRUE,FALSE,FALSE
"SL008696","Anthrax toxin receptor 1","ANTR1","Q9H6X2","84168","ANTXR1",10,"PASS","Q9H6X2","84168","ANTXR1","seq.10464.6",TRUE,TRUE,FALSE
"SL004145","Tumor necrosis factor receptor superfamily member 14","HVEM","Q92956","8764","TNFRSF14",10,"PASS","Q92956","8764","TNFRSF14","seq.10472.53",TRUE,TRUE,FALSE
"SL002602","Trefoil factor 2","Trefoil factor 2","Q03403","7032","TFF2",10,"PASS","Q03403","7032","TFF2","seq.10473.2",FALSE,FALSE,TRUE
"SL000645","Stromelysin-2","MMP-10","P09238","4319","MMP10",10,"PASS","P09238","4319","MMP10","seq.10479.18",FALSE,FALSE,TRUE
"SL004557","CD59 glycoprotein","CD59","P13987","966","CD59",10,"PASS","P13987","966","CD59","seq.10480.33",TRUE,TRUE,FALSE
"SL025976","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain","RPN1:CD","P04843","6184","RPN1",10,"PASS","P04843","6184","RPN1","seq.10490.3",FALSE,TRUE,FALSE
"SL009322","Calcium-activated chloride channel regulator 1","CaCC","A8K7I4","1179","CLCA1",10,"PASS","A8K7I4","1179","CLCA1","seq.10496.11",FALSE,FALSE,TRUE
"SL008733","Transmembrane protein 106A","T106A","Q96A25","113277","TMEM106A",10,"PASS","Q96A25","113277","TMEM106A","seq.10499.1",FALSE,TRUE,FALSE
"SL018629","E3 ubiquitin-protein ligase RNF43","RNF43","Q68DV7","54894","RNF43",10,"PASS","Q68DV7","54894","RNF43","seq.10505.12",FALSE,TRUE,FALSE
"SL007962","Membrane-associated progesterone receptor component 2","PGRC2","O15173","10424","PGRMC2",10,"PASS","O15173","10424","PGRMC2","seq.10506.53",TRUE,TRUE,FALSE
"SL009308","Acrosomal protein SP-10","sperm protein 10","P26436","56","ACRV1",10,"PASS","P26436","56","ACRV1","seq.10507.166",TRUE,FALSE,FALSE
"SL018612","SLP adapter and CSK-interacting membrane protein","SCIMP","Q6UWF3","388325","SCIMP",10,"PASS","Q6UWF3","388325","SCIMP","seq.10510.62",FALSE,TRUE,FALSE
"SL025888","Cytokine receptor common subunit beta:Extracellular domain","IL3RB:ECD","P32927","1439","CSF2RB",10,"PASS","P32927","1439","CSF2RB","seq.10512.13",TRUE,TRUE,FALSE
"SL018613","Calsenilin","CSEN","Q9Y2W7","30818","KCNIP3",10,"PASS","Q9Y2W7","30818","KCNIP3","seq.10513.13",TRUE,FALSE,FALSE
"SL005360","Prostaglandin-H2 D-isomerase","PGD2 synthase","P41222","5730","PTGDS",0.5,"PASS","P41222","5730","PTGDS","seq.10514.5",TRUE,FALSE,TRUE
"SL025939","Matrix-remodeling-associated protein 8:Extracellular domain","MXRA8:ECD","Q9BRK3","54587","MXRA8",0.5,"PASS","Q9BRK3","54587","MXRA8","seq.10521.10",FALSE,TRUE,FALSE
"SL013075","ATP-dependent RNA helicase A","DHX9","Q08211","1660","DHX9",10,"PASS","Q08211","1660","DHX9","seq.10527.22",TRUE,FALSE,FALSE
"SL008734","Dipeptidase 1","DPEP1","P16444","1800","DPEP1",10,"PASS","P16444","1800","DPEP1","seq.10528.2",TRUE,FALSE,FALSE
"SL016414","Proteasome subunit beta type-6","PSB6","P28072","5694","PSMB6",10,"PASS","P28072","5694","PSMB6","seq.10530.8",TRUE,FALSE,FALSE
"SL010845","GTPase NRas","RASN","P01111","4893","NRAS",10,"PASS","P01111","4893","NRAS","seq.10531.18",TRUE,FALSE,FALSE
"SL025953","Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian","PARP:BRCT domain","P09874","142","PARP1",10,"PASS","P09874","142","PARP1","seq.10534.40",TRUE,FALSE,FALSE
"SL018731","Cytochrome c oxidase subunit 6A2, mitochondrial","CX6A2","Q02221","1339","COX6A2",10,"PASS","Q02221","1339","COX6A2","seq.10535.25",TRUE,FALSE,FALSE
"SL014293","CD99 antigen-like protein 2","C99L2","Q8TCZ2","83692","CD99L2",10,"PASS","Q8TCZ2","83692","CD99L2","seq.10539.30",TRUE,TRUE,FALSE
"SL012744","Thrombospondin-type laminin G domain and EAR repeat-containing protein","TSEAR","Q8WU66","54084","TSPEAR",10,"PASS","Q8WU66","54084","TSPEAR","seq.10546.2",TRUE,FALSE,TRUE
"SL004132","Bone morphogenetic protein receptor type-1B","BMP RIB","O00238","658","BMPR1B",10,"PASS","O00238","658","BMPR1B","seq.10550.37",TRUE,TRUE,FALSE
"SL007008","Linker for activation of T-cells family member 1","LAT","O43561","27040","LAT",10,"PASS","O43561","27040","LAT","seq.10551.7",TRUE,TRUE,FALSE
"SL017983","NKG2-F type II integral membrane protein","NKG2F","O43908","8302","KLRC4",10,"PASS","O43908","8302","KLRC4","seq.10552.88",FALSE,TRUE,FALSE
"SL017988","Torsin-1A-interacting protein 2","TOIP2","Q8NFQ8","163590","TOR1AIP2",10,"PASS","Q8NFQ8","163590","TOR1AIP2","seq.10553.8",TRUE,TRUE,FALSE
"SL018003","Testis-expressed sequence 29 protein","TEX29","Q8N6K0","121793","TEX29",0.5,"PASS","Q8N6K0","121793","TEX29","seq.10557.6",FALSE,TRUE,FALSE
"SL008436","Protocadherin-9","PCDH9","Q9HC56","5101","PCDH9",10,"PASS","Q9HC56","5101","PCDH9","seq.10558.26",FALSE,TRUE,FALSE
"SL025895","Integral membrane protein 2C:N-term","ITM2C:N-term","Q9NQX7","81618","ITM2C",10,"PASS","Q9NQX7","81618","ITM2C","seq.10560.1",TRUE,TRUE,FALSE
"SL004512","Peptidoglycan recognition protein 3","PGRP-I-alpha","Q96LB9","114771","PGLYRP3",10,"PASS","Q96LB9","114771","PGLYRP3","seq.10561.5",FALSE,FALSE,TRUE
"SL015086","Neuropilin and tolloid-like protein 2","NETO2","Q8NC67","81831","NETO2",10,"PASS","Q8NC67","81831","NETO2","seq.10562.42",FALSE,TRUE,FALSE
"SL018021","LysM and putative peptidoglycan-binding domain-containing protein 3","LYSM3","Q7Z3D4","116068","LYSMD3",10,"PASS","Q7Z3D4","116068","LYSMD3","seq.10563.13",TRUE,TRUE,FALSE
"SL017951","SLIT and NTRK-like protein 3","SLIK3","O94933","22865","SLITRK3",10,"PASS","O94933","22865","SLITRK3","seq.10565.19",TRUE,TRUE,FALSE
"SL012443","Microfibrillar-associated protein 2","MFAP2","P55001","4237","MFAP2",0.5,"PASS","P55001","4237","MFAP2","seq.10569.28",FALSE,FALSE,TRUE
"SL018096","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT1","P26572","4245","MGAT1",10,"PASS","P26572","4245","MGAT1","seq.10571.14",TRUE,TRUE,FALSE
"SL012372","Cystatin-8","CST8","O60676","10047","CST8",10,"PASS","O60676","10047","CST8","seq.10572.65",FALSE,FALSE,TRUE
"SL000283","Beta-2-microglobulin","b2-Microglobulin","P61769","567","B2M",10,"PASS","P61769","567","B2M","seq.10574.10",TRUE,FALSE,FALSE
"SL018139","Poly(U)-binding-splicing factor PUF60","PUF60","Q9UHX1","22827","PUF60",10,"PASS","Q9UHX1","22827","PUF60","seq.10575.31",TRUE,FALSE,FALSE
"SL025965","Plexin domain-containing protein 2:Extracellular domain","PXDC2:ECD","Q6UX71","84898","PLXDC2",0.5,"PASS","Q6UX71","84898","PLXDC2","seq.10576.7",FALSE,TRUE,FALSE
"SL012586","Surfactant-associated protein 2","SFTA2","Q6UW10","389376","SFTA2",10,"PASS","Q6UW10","389376","SFTA2","seq.10580.14",TRUE,FALSE,TRUE
"SL018286","Protein O-mannose kinase","SG196","Q9H5K3","84197","POMK",10,"PASS","Q9H5K3","84197","POMK","seq.10582.36",FALSE,TRUE,FALSE
"SL018282","Transmembrane protein 108","TM108","Q6UXF1","66000","TMEM108",10,"PASS","Q6UXF1","66000","TMEM108","seq.10583.1",TRUE,TRUE,FALSE
"SL018289","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial","NDUS4","O43181","4724","NDUFS4",10,"PASS","O43181","4724","NDUFS4","seq.10584.7",TRUE,FALSE,FALSE
"SL011395","Lactosylceramide alpha-2,3-sialyltransferase","SIAT9","Q9UNP4","8869","ST3GAL5",10,"PASS","Q9UNP4","8869","ST3GAL5","seq.10588.39",TRUE,TRUE,FALSE
"SL018354","Retinoic acid early transcript 1L protein","RET1L","Q5VY80","154064","RAET1L",10,"PASS","Q5VY80","154064","RAET1L","seq.10589.7",FALSE,TRUE,FALSE
"SL017410","Calmegin","CLGN","O14967","1047","CLGN",0.5,"PASS","O14967","1047","CLGN","seq.10600.24",TRUE,TRUE,FALSE
"SL012419","Histatin-3","HIS3","P15516","3347","HTN3",10,"PASS","P15516","3347","HTN3","seq.10603.1",FALSE,FALSE,TRUE
"SL004748","Adipocyte plasma membrane-associated protein","APMAP","Q9HDC9","57136","APMAP",10,"PASS","Q9HDC9","57136","APMAP","seq.10605.22",TRUE,TRUE,FALSE
"SL026012","Torsin-1A-interacting protein 1:Perinuclear domain","TOIP1:Perinuclear","Q5JTV8","26092","TOR1AIP1",10,"PASS","Q5JTV8","26092","TOR1AIP1","seq.10606.34",TRUE,TRUE,FALSE
"SL012418","Histatin-1","HIS1","P15515","3346","HTN1",10,"PASS","P15515","3346","HTN1","seq.10608.9",FALSE,FALSE,TRUE
"SL008694","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","PLOD3","O60568","8985","PLOD3",0.5,"PASS","O60568","8985","PLOD3","seq.10612.18",TRUE,FALSE,TRUE
"SL018589","Protein CASC4","CASC4","Q6P4E1","113201","GOLM2",10,"PASS","Q6P4E1","113201","GOLM2","seq.10613.33",TRUE,FALSE,FALSE
"SL008066","Myelin protein P0","MYP0","P25189","4359","MPZ",10,"PASS","P25189","4359","MPZ","seq.10615.18",TRUE,TRUE,FALSE
"SL017477","Podocalyxin-like protein 2","PDXL2","Q9NZ53","50512","PODXL2",10,"PASS","Q9NZ53","50512","PODXL2","seq.10616.67",FALSE,TRUE,FALSE
"SL004439","Low-density lipoprotein receptor-related protein 2","megalin","P98164","4036","LRP2",10,"PASS","P98164","4036","LRP2","seq.10618.190",TRUE,TRUE,FALSE
"SL000548","Beta-microseminoprotein","PSP-94","P08118","4477","MSMB",10,"PASS","P08118","4477","MSMB","seq.10620.21",FALSE,FALSE,TRUE
"SL018592","Protein Largen","PRR16","Q569H4","51334","PRR16",10,"PASS","Q569H4","51334","PRR16","seq.10621.26",TRUE,FALSE,FALSE
